1USA_2Europe_3Japan,year,weight,mpg
1,78,2230,30.9
3,78,2515,21.1
1,78,2745,23.2
1,78,2855,23.8
3,78,2405,23.9
2,78,2830,20.3
2,78,3140,17
2,78,2795,21.6
2,78,3410,16.2
2,78,1990,31.5
3,78,2135,29.5
1,79,3245,21.5
1,79,2990,19.8
1,79,2890,22.3
1,79,3265,20.2
1,79,3360,20.6
1,79,3840,17
1,79,3725,17.6
1,79,3955,16.5
1,79,3830,18.2
1,79,4360,16.9
1,79,4054,15.5
1,79,3605,19.2
1,79,3940,18.5
2,79,1925,31.9
3,79,1975,34.1
1,79,1915,35.7
1,79,2670,27.4
2,79,3530,25.4
1,79,3900,23
2,79,3190,27.2
1,79,3420,23.9
1,79,2200,34.2
1,79,2150,34.5
3,79,2020,31.8
2,79,2130,37.3
1,79,2670,28.4
1,79,2595,28.8
1,79,2700,26.8
1,79,2556,33.5
2,80,2144,41.5
3,80,1968,38.1
1,80,2120,32.1
3,80,2019,37.2
1,80,2678,28
1,80,2870,26.4
1,80,3003,24.3
1,80,3381,19.1
2,80,2188,34.3
3,80,2711,29.8
3,80,2542,31.3
3,80,2434,37
3,80,2265,32.2
3,80,2110,46.6
1,80,2800,27.9
3,80,2110,40.8
2,80,2085,44.3
2,80,2335,43.4
2,80,2950,36.4
2,80,3250,30
3,80,1850,44.6
2,80,1835,40.9
3,80,2145,33.8
2,80,1845,29.8
3,80,2910,32.7
3,80,2420,23.7
2,80,2500,35
1,80,2905,23.6
3,80,2290,32.4
1,81,2490,27.2
1,81,2635,26.6
1,81,2620,25.8
1,81,2725,23.5
1,81,2385,30
3,81,1755,39.1
1,81,1875,39
3,81,1760,35.1
3,81,2065,32.3
3,81,1975,37
3,81,2050,37.7
3,81,1985,34.1
1,81,2215,34.7
1,81,2045,34.4
1,81,2380,29.9
2,81,2190,33
2,81,2320,34.5
3,81,2210,33.7
3,81,2350,32.4
3,81,2615,32.9
3,81,2635,31.6
2,81,3230,28.1
2,81,3160,30.7
3,81,2900,25.4
3,81,2930,24.2
1,81,3415,22.4
1,81,3725,26.6
1,81,3060,20.2
1,81,3465,17.6
1,82,2605,28
1,82,2640,27
1,82,2395,34
1,82,2575,31
1,82,2525,29
1,82,2735,27
1,82,2865,24
1,82,3035,23
2,82,1980,36
3,82,2025,37
3,82,1970,31
1,82,2125,38
1,82,2125,36
3,82,2160,36
3,82,2205,36
3,82,2245,34
3,82,1965,38
3,82,1965,32
3,82,1995,38
1,82,2945,25
1,82,3015,38
1,82,2585,26
1,82,2835,22
3,82,2665,32
1,82,2370,36
1,82,2950,27
1,82,2790,27
2,82,2130,44
1,82,2295,32
1,82,2625,28
1,82,2720,31
