제목,저자,발행기관,학술지명,권호사항,발행연도,작성언어,주제어,KDC,등재정보,자료형태,발행기관 URL,수록면,KCI 피인용횟수,비고,중단사유,제공처,소장기관,국문 초록 (Abstract),다국어 초록 (Multilingual Abstract),목차
고령소비자의 디지털 정보격차 문제와 디지털 역량 강화 방안 모색 = Digital Divide Among Older Consumers and Measures to Enhance Their Digital Literacy,김정희,한국소비자원,소비자문제연구(journal of consumer policy studies),"Vol.53No.3[2022]
",2022,Korean,"Older Consumers,Older Financial Consumers,Digital Divide,Digital Literacy,Consumer Policy,고령소비자,고령금융소비자,디지털 정보격차,디지털 역량,소비자정책",,KCI등재,"학술저널
",,27-54,,,," KCI, &nbsp;&nbsp; DBpia",,"고령화는 세계 다수 국가에서 그 속도의 차이가 있을 뿐 공통적인 현상이며 우리나라 또한 급속히 인구 고령화가 진행되어 2025년에는 초고령화 사회로의 진입이 예상된다. 한편 지속되는 코로나19로 인하여 여러 분야에서 비대면 활동이 증가하고 제 4차 산업혁명 시대의 디지털화가 가속화되면서 특히 금융 분야의 금융디지털화가 빠르게 확산함에 따라 고령소비자의 디지털 정보격차와 금융 소외 현상이 새로운 문제로 대두되었다. UN 및 OECD를 비롯하여 세계 여러 나라에서 고령소비자의 취약성에 관심을 기울이고 특히 고령금융소비자의 디지털 금융 소외와 그에 따른 금융 전반의 문제에 대한 적극적인 대처를 하고 있다. 우리나라에서도 고령소비자와 관련된 법과 정책, 제도들이 시행되고 있으나 여전히 미흡하며 고령소비자의 신체 능력 저하 및 정보수집과 처리기술 등의 취약성을 악용한 금융 문제와 피해가 다발하고 있다. 이에, 본 연구에서는 고령소비자의 디지털 정보격차 실태와 문제점들을 짚어보고 기존의 관련 법, 정책, 제도들을 외국의 것과 비교해보면서 고령소비자가 역량을 갖추고 단순히 보호받는 대상이 아니라 스스로 권익을 지켜나갈 수 있는 방안을 모색해보고자 하였다.
우선 정부와 금융당국, 금융기관과 관련 단체들이 함께 역할을 분담하고 실효성 있는 방안을 모색하여 실행해야 하겠다. 금융디지털화에서 소외된 고령소비자를 장기간 방치하면 이는 단순히 디지털 정보격차의 문제로 그치는 것이 아니라 사회문제로 확대되어 소비자복지 증진에도 부정적 영향을 미치게 된다. 따라서 고령자에게 최적화된 정책과 제도를 마련하고 사회소비자교육을 통해 디지털 역량을 강화해야 한다. 고령소비자들 중에도 디지털 기술 수준과 새로운 기술에 대한 수용 의지 등이 상이하므로 그들 스스로 교육 강사와 학습자의 역할을 분담하여 공동체적 교육시스템을 구축하고 디지털 전환에서 소외되지 않도록 지원해야 한다. 무엇보다 고령소비자 교육은 단발성으로 그쳐서는 안 되며 성과 위주, 실적 위주가 아니라 교육 시행 후 사후평가와 관리를 통해 교육효과에 대한 진단과 점검을 철저히 해야 할 것이다. 특히 고령금융소비자 권익 강화를 위한 외국의 감독적 관심을 주의 깊게 살펴보고 우리나라에서 적용할 수 있는 것들을 취사선택하여 시행해 볼 필요가 있겠다.",,
왜 여전히 나는 소외되고 있는가?: 노인 집단 내 디지털정보격차 심화에 관한 연구 = Why am I still Marginalized?: A Study on the Heterogeneity of Digital Divide among Older Adults,"남석인,한상윤,김태현,박유빈",한국노년학회,한국노년학(韓國老年學),"Vol.42No.3[2022]
",2022,Korean,"Older adults,Digital divide,Digital exclusion,Senior digital plaza,Grounded theory,노인,디지털정보격차,디지털 소외,시니어 디지털 플라자,근거이론",,KCI등재,"학술저널
",http://www.tkgs.or.kr,731-753,0.0,,, DBpia,,"본 연구는 노인의 디지털 기술 사용 경험 전반을 심도 있게 살펴보는 동시에 노인 집단 내 디지털 격차에 주목하였다. 특히, 노인을 동일 범주로 압축하여 보는 데서 간과하는 집단 내 이질성과 노인 집단 안에서도 소외된 노인에 대한 논의를 전개하기 위해당사자인 노인이 겪은 장기간의 현상과 경험을 분석할 수 있는 근거이론을 기반으로 접근하였다. 이를 위하여 만 65세 이상의 디지털기기 활용 경험이 있는 노인 12명이 심층 인터뷰에 참여하였다. 연구결과, 54개의 개념과 26개의 하위범주 및 14개의 범주가 도출되었다.
중심현상은‘디지털 세상 속 미로(迷路)에 서다’이며, ‘안 도와주거나 못 도와주거나’,‘정작 학습자인 노인이 사라진 교육’,‘용기가 부족한걸까 경험이 부족할 걸까’라는 인과적 조건의 영향을 받는 것으로 나타났다. 맥락적 조건은 ‘노인이 마주친 디지털 환경’과‘연령차별의늪에 빠지다’이며, 중재적 조건은‘일상을 담은 교육의 친근함’과‘마음 편히 요청할 수 있는 비공식적 도움’으로 나타났다. 이에 영향을받는 전략으로는‘두렵지만 맞서기’,‘도움 기다리기’,‘회피할수록 느끼는 소외감과 무력감’으로, 이로 인해‘디지털 세상 속에서 행복을찾는 나’,‘경계에 멈춰 불안해하는 나’그리고 ‘디지털 속도를 놓치고 멈춰있는 나’의 3가지 결과가 나타났다. 연구결과를 토대로 노인전반이 겪고 있는 어려움들, 그리고 그 안에 개별화된 특성과 욕구들에 대한 이해를 통해 노인 집단 내 디지털 격차를 완화하기 위한시니어 디지털 플라자 구축 방안을 제시하고, 세대를 아우르는 디지털 포용 사회를 위한 정책 및 실천 방향을 논의하였다.",,
텍스트 마이닝을 통한 디지털 정보격차 현상 연구 = A  study  on  the  phenomenon  of  the  digital  information  gap through  text  mining,"박세훈,류찬하,천동필",한국기술혁신학회,기술혁신학회지(Journal of Korea technology innovation society),"Vol.25No.1[2022]
",2022,Korean,"디지털 정보격차,디지털 취약계층,텍스트마이닝,토픽모델링,LDA,Digital Divide,Digital Vulnerability,Text Mining,Topic Modeling,Latent Dirichlet Allocation(LDA)",,KCI등재,"학술저널
",http://www.innovation.or.kr,25-42,0.0,,," KCI, &nbsp;&nbsp; DBpia",,"사회적, 경제적 취약계층에 대한 격차 해소가 단순한 복지 차원을 넘어 전 지구적 지속가능성장의 주요 이슈로 대두 되고 있다. 본 연구는 이 중 디지털 정보격차 취약계층, 그중에서도 초고령사회로 진입하고 있는 한국의 인구구조 상 황을 반영하여 고령층의 디지털 정보격차 현상에 대해 텍스트마이닝 기법을 토대로 분석한 실증적 연구이다. 먼저 디 지털 정보격차와 텍스트마이닝 기법의 하나인 LDA 토픽모델링에 대한 이론적 배경과 선행연구를 살펴보았다. 그리고 네이버 뉴스기사, 논문, 연구보고서 등의 텍스트 문서 등을 대상으로 탐색적 LDA를 수행하였다. 이를 통해 추출된 키 워드를 바탕으로 부산 거주 고령층을 대상으로 설문 인터뷰를 진행하고 그 녹취록에 대해 LDA를 다시 수행하였다. 일 련의 과정과 결과를 통해 디지털 정보격차의 3수준 국내 연구 필요성과 고령층 디지털 정보격차 해소에 필요한 음성인 식 부문 인공지능 기술개발과 사업화 방향을 제안하였다.","Resolving the social and economically vulnerable gap goes beyond simple welfare and is emerging as a significant issue for global sustainability. This study is an empirical study based on text mining techniques on the digital information gap phenomenon of the elderly by reflecting the demographic structure of Korea, which is entering a super-aged society, among those vulnerable to the digital information gap: 1. We reviewed the theoretical background and previous studies on the digital information gap and LDA topic modeling, one of the text mining techniques, and performed exploratory LDA on text documents such as Naver news articles, papers, and research reports.
2. Based on the keywords extracted, we conducted questionnaire interviews with the elderly living in Busan, and LDA has performed again on the transcripts.
3. Through a series of processes and results, we suggested the necessity of domestic research on the 3rd level of the digital information gap and the development and commercialization of artificial intelligence technology in the voice recognition sector necessary to resolve the digital information gap for the elderly.",
북한이탈주민을 위한 디지털 조력이 정보격차에 미치는 영향 = The Effect of Digital Support on the Digital Divide of North Korean Defectors,"이홍재,박미경,한수영",한국지식정보기술학회,한국지식정보기술학회 논문지(Journal of Knowledge Information Technology and Systems),"Vol.17No.1[2022]
",2022,Korean,"Digital divide,Digital support,Digital skill,Online service use. North Korean defector",,KCI등재,"학술저널
",,131-142,0.0,,, KCI,,,"This study aims to analyze the impact of digital support on digital skill, online service use, and the digital use performance of North Korean defectors to present theoretical and policy implications. By reviewing previous studies, the research model for the variable relationship is developed. For analysis, the raw data of North Korean defectors in ‘2020 The report on the digital divide’ by the National Information Society Agency were used. From total 700 people in the report, 671 samples of defectors, who own mobile device such as a smartphone and used internet within the last month, were selected. We apply the structural equation model to analyze the relationship among digital support, digital skill, online service, and the digital use performance for North Korean defectors. As a result of the structural equation model analysis, it is confirmed that digital support has a positive influence on digital skill, online service use, and the digital use performance for the North Korean defector. In addition, it is found that digital skill positively contributed to the online service and the online service increased the digital use performance for the North Korean defectors. The analysis holds significance in that it has presented digital support to increase digital skill, online service use, and the digital use performance.",
디지털 정보격차 관련 국내 연구 동향 분석 = Research Trend Analysis of Digital Divide in South Korea,"고정현,강우진,이종욱",한국도서관·정보학회,한국도서관정보학회지,"Vol.52No.4[2021]
",2021,Korean,"디지털 정보격차,연구동향,토픽모델링,단어네트워크,Digital Divide,Research Trend,Topic Modelling,Keyword Network",,KCI등재,"학술저널
",http://liss.jams.or.kr,179-203,0.0,,," ScienceON, &nbsp;&nbsp; KCI",숙명여자대학교 중앙도서관,,"This study aims to grasp the key issues and the direction for digital divide research in South Korea. Based on the 488 KCI journal articles published between 2003 and 2020, the authors analyzed the changes in the number of articles per year and the subject areas of journals. Furthermore, the topic modelling and keyword network anlaysis were applied to identify the subjects of research. The main findings can be summarized as follows: first, there was a stable trend for a while after the number of articles had increased by the year of 2007, and then there has been a sharp increase since 2019. Second, digital divide research has been conducted from diverse fields including social science, multidiscipline, and engineering. Third, the six subject areas were identified which are ‘digital divide among regions’, ‘digital divide among people with disabilities’, ‘technical environment of digital divide’, ‘divide from information use and its consequence’, ‘legal and institutional environments of digital divide’, and ‘digital divide of the elderly’. Finally, it was shown that the areas of ‘divide from information use and its consequence’ and ‘technical environment of digital divide’ have attracted attention recently.",
"‘정보격차’ 연구에 대한 검토와 미래 연구 방향 = A Critical Review of ‘Digital Divide’ Research: Trend, Shortcomings and Future Directions",김문조 ( Kim Mun-cho ),한국지능정보사회진흥원,정보화정책(Informatization policy),"Vol.28No.4[2021]
",2021,,"정보격차,사회 불평등,AI,지능사회,신문명,digital divide,social inequality,AI,intelligence society,neo-civilization",300.0,KCI등재,"학술저널
",http://www.nia.or.kr,3-18,0.0,,," DBpia, &nbsp;&nbsp; ScienceON, &nbsp;&nbsp; KISS",홍익대학교 중앙도서관,,"The ‘digital divide’ is regarded as a latent dysfunction that impedes the intrinsic role of information to contribute to social equality. Therefore, it has drawn great attention inside and outside of academia. The growing interest in the digital divide has been driven by the realization that it can create a serious crisis that threatens a social system compounded by existing economic, social, and cultural inequality, rather than being limited to an uneven distribution of information. In this paper (1) studies on the digital divide published since 1970 are reviewed, (2) studies noteworthy of discussion are selected to assess their academic significance, and (3) the tasks and prospects of digital divide research are explored. Although meaningful achievements have been amassed through continuous interest and efforts of the academic community, two limitations are raised; the gap between pure research and policy research that hinders the working of synthetic imagination, and the intellectual lag falling behind a rapidly changing society. In addition, it is suggested that the operation, curation, and augmentation gaps would emerge as new agenda for digital divide research in the intelligent information age.",
고령자의 정보격차와 노년기 삶의 질 = Digital Divide and Quality of Life in Old Age,"최은선(Eunsun Choi),김철(Chul Kim)",한국노년학연구회,한국 노년학연구(Korean journal of research in gerontology),"Vol.30No.2[2021]
",2021,,"정보격차,고령자,노년기,스마트 사회,디지털 정보 활용능력,Digital divide,Older adults,Old age,Smart society,Digital information literacy",338.0,KCI등재,"학술저널
",,37-49,0.0,,," 스콜라, &nbsp;&nbsp; eArticle",,"COVID-19 감염의 확산 예방을 위한 ‘사회적 거리두기’ 정책이 일반화되면서 고령자들도 과거에 비해 정보통신기술을 더 많이 의존하면서 생활하고 있다. 그러나 고령층은 디지털 기기에 접근할 수 있는 수단과 능력이 젊은 세대들에 비해 뒤처질 뿐만 아니라 접근했다고 하더라도 활용능력이 더 미약한 편이다. 곧 정보격차로 인하여 고령자들의 사회적 고립 현상이 더 심화될 수 있다. 이에 본고에서는 정보격차가 일상생활에 미치는 영향을 비롯하여 정보격차에 따른 노년기 삶의 질이 변화하는 양상, 그리고 고령자의 스마트 기기나 디지털정보의 활용 능력 등을 간략하게 개괄하였다. 마지막으로 정보격차를 해소시키는 다양한 방안들이 고령자에 초점을 맞추면서 논의되었다.","Older adults have been more dependent upon the information and communication technology while they have recently sticked to the ‘social distancing’ policy due to the impact of the COVID-19 pandemic. However, they had worse abilities and less means to access to digital devices than the younger age groups, and less competence to utilize the devices even they succeeded to access to them. They are getting more isolated socially owing to the digital divide. Therefore, it was roughly reviewed the effects of the digital divide on daily life, the changes in the quality of life in old age due to the digital divide, and the older adults’ capabilities of utilizing smart devices and digital information in this study. Finally, a variety of ways were proposed to resolve the digital divide for the older adults in the discussion.",Ⅰ. 정보격차 Ⅱ. 스마트 사회와 적응 Ⅲ. 고령자의 정보격차와 노년기 삶 Ⅳ. 정보격차 해소방안
중･고령자의 건강정보이해능력과 디지털 격차와의 관계: 성별차이를 중심으로 = The Relationship Between Health Literacy and Digital Divide of middle-aged and Older Adults: Focused on Gender Differences,"엄사랑,윤희정,신혜리,김영선",한국지역정보화학회,한국지역정보화학회지(JOURNAL OF KOREAN ASSOCIATION FOR REGIONAL INFORMATION SOCIETY),"Vol.24No.1[2021]
",2021,Korean,"중･고령자,건강정보이해능력,디지털 격차,기술활용수준,성별차이,Middle-aged and Older Adults,Health Literacy,Digital Divide,Gender Differences",,KCI등재,"학술저널
",http://www.karis21.or.kr/,127-153,0.0,,," KCI, &nbsp;&nbsp; DBpia",,"본 연구는 중･고령자를 대상으로 건강정보이해능력과 디지털 격차의 관계를 검증하고, 성별차이를 비교하는 것을 목적으로 한다. 이를 위해 전국 지역사회에 거주하는 만 55세 이상의 중･고령자를 대상으로 설문조사를 시행하여 총 500명의 최종 대상자를 수집하였으며, 선형회귀분석을 실시하였다. 연구결과, 중･고령자의 건강정보이해능력 수준이 높을수록 통계적으로 유의미한 수준에서 기술 활용 수준도 높은 것으로 나타났다. 추가로 성별 차이를 비교한 결과 남성 중･고령자는 건강정보이해능력과 기술 활용 수준이 통계적 연관성을 가지고 있었으나, 여성 중･고령자는 연관성을 가지지 않는 것으로 나타났다. 이와 같은 연구결과에 따르면 디지털 격차를 경감시키기 위한 실천방안으로 건강정보이해능력을 증진시키는 중재프로그램이 선행되어야 하며, 특히 남성 중･고령자에게 더욱 중요하다는 것을 강조한다.","The purpose of this study is to examine the relationship between health literacy and the digital divide in middle-aged and older adults to verify the gender difference. The survey was conducted on community-dwelling Koreans aged 55 years and older, and 500 participants were collected. The linear regression analysis was performed. As a result of the study, middle-aged and older adults who had a higher level of health literacy had a higher level of the digital divide at a statistically significant level. Besides, male middle-aged and older adults had a statistical relationship between health literacy and the digital divide, but female middle-aged and older adults had no relationship. Based on the research results, we emphasized that improving health literacy should be preceded as an action plan to reduce the digital divide, especially for male middle-aged and older adults",
코로나19 전후 다문화 정보격차 비교분석:신문기사 키워드 네트워크 분석을 중심으로 = Comparative Analysis of Multicultural Digital Divide before and after COVID-19: Focusing on Keyword Network Analysis of Newspaper Articles,Hye Jung Kang,위기관리 이론과 실천,Crisisonomy(한국위기관리논집),"Vol.17No.6[2021]
",2021,,"다문화,정보격차,코로나19,키워드 네트워크 분석,신문기사,multiculture,digital divide,COVID-19,keyword network analysis,newspaper",350.0,KCI등재,"학술저널
",http://www.cemtp.re.kr,37-54,,,," KCI, &nbsp;&nbsp; 스콜라, &nbsp;&nbsp; eArticle",,"본 연구는 코로나19 전후 신문기사에서 다루고 있는 다문화의 정보격차 이슈를 비교분석하였다. 뉴스 빅데이터 시스템인 빅카인즈(BigKinds)와 구글뉴스검색을 통해 다문화 정보격차와 관련된 뉴스내용을 키워드 빈도, 키워드 네트워크, 키워드 군집 등의 결과를 분석하여 제시하였다. 연구결과, 다문화 정보격차에 대한 사회적 관심은 코로나19 이후 높아졌으며, 다문화 정보격차의 핵심 이슈는공통적으로 다문화가정과 교육으로 나타났다. 그러나 다문화 정보격차와 관련해 중점적으로 다루고있는 주제는 시기에 따라 차이가 있는 것으로 나타났다. 코로나19 이전시기에는 학교 밖의 지원을, 코로나19 이후시기에는 학교교육을 중점적으로 보도하고 있으며, 코로나19 이전보다 이후시기에다문화 집단을 세부적으로 구분하고, 다문화 정보격차를 다각적인 관점에서 접근하였다. 본 연구는신문기사를 바탕으로 형성된 국내 다문화정보격차 관련 이슈를 분석하였다는 점에서 의의가 있다. 향후 지속적인 연구를 통해 다문화 정보격차 문제 해결을 위한 종합적인 정책방안을 모색할 수 있을것이라 기대한다.","This study compares the multicultural digital divide issues addressed in newspaper articles before and after COVID-19. This study analyzes of keyword frequency, keyword network and cluster for news contents related ‘multicultural digital divide’ through BigKinds and Google News Search. As a result, social interest in the multicultural digital divide has increased after COVID-19. The core issues of the multicultural digital divide that appeared in all periods before and after COVID-19 were ‘multicultural family’ and ‘education’. However, it found that the topics focused on the multicultural digital divide differ depending on the period. Before COVID-19, the main report was the support programs outside the school. On the other hand, after COVID-19, school education-centered support to solve the multicultural digital divide was mainly reported, and the multicultural group was classified in details. Also the multicultural digital divide was approached from multiple perspectives. This study is significant in that it suggest a new research method by analyzing the multicultural digital divide based on newspaper articles. Through continuos research, it is expected to find the comprehensive policy measures to resolve the multicultural digital divide.",Ⅰ. 문제제기 Ⅱ. 이론적 배경 Ⅲ. 연구방법 Ⅳ. 분석결과 Ⅴ. 결론
청년은 정보 활용격차에서 자유로운가? - 한국 2030 청년세대의 모바일 정보 활용에 관한 연구 -,"김설인(Seolihn Kim),구혜경(Hye-Gyoung Koo)",한국콘텐츠학회,한국콘텐츠학회논문지(The Journal of the Korea Contents Association),"Vol.21No.1[2021]
",2021,Korean,"2030 청년세대,정보격차,준거집단,고활용집단,저활용집단,소비자역량,생활만족도,2030 Youth Generation,Digital Divide,Reference Group,High Utilization Group,Low Utilization Group,Consumer Capabilities,Living Satisfaction",310.0,KCI등재,"학술저널
",http://www.koreacontents.or.kr,39-54,0.0,,," ScienceON, &nbsp;&nbsp; DBpia",숭실대학교 중앙도서관,"본 연구는 2030 청년세대의 모바일 정보 활용수준에 따라 집단을 유형화하고, 유형별 소비자역량과 생활만족도에 차이가 있는지 실증하고자 하였다. 그리고 세대 내 정보격차에 영향을 미칠 수 있는 요인을 파악하고자 하였다. 이를 위해 2018년 디지털 정보격차 실태조사 원자료를 활용하여 총 1779부의 유효데이터를 분석하였다. 연구결과, 2030 청년세대의 정보 활용요인은 ‘개인의 정보활동’, ‘공유활동’, ‘생활서비스’, ‘사회참여’, ‘정보 및 네트워킹’, ‘경제활동’으로 도출되었다. 정보 활용수준에 따라 소비자는 준거집단(46.5%), 고활용집단(27.2), 저활용집단(26.3%) 3가지로 유형화되었으며, 유형별 인구통계학적 특성, 소비자역량, 생활 만족도에서 통계적으로 유의한 차이가 있었다. 그리고 준거집단과 비교하여, 고활용집단과 저활용집단의 정보격차에 영향을 미칠 수 있는 요인을 확인하였다. 본 연구는 2030 청년세대 내 정보 활용수준이 유의한 차이가 있음을 확인하고, 이러한 차이가 정보격차로 이어질 가능성을 피력하였다는 것에 의의가 있다. 청년세대 역시 정보격차의 대상이 될 수 있으며, 향후 정책이나 교육에서도 청년세대 정보격차에 대한 발전된 차원의 논의가 필요할 것이다.","This study aim to demonstrate and categorize the status of level of mobile information utilization of the 2030 youth generation, and to identify factors that may affect the digital divide within the generation. For this purpose, 1779 data were analyzed using materials for the 2018 digital divide survey in Korea Ministry of Science and ICT. According to the level of information utilization, the consumers were categorized into three types : reference group (46.5%), high utilization group (27.2%), and low utilization group (26.3%). There were statistically significant differences in demographics variable, consumer capabilities, living satisfaction by type of consumer. In addition, the factors influencing the digital divide of the high utilization group and low utilization group were identified compared to the reference group. It is meaningful that this study confirmed the actual gap of information utilization and raised the possibility of the digital divide within the 2030 youth generation.","요약
Abstract
I. 서론
Ⅱ. 이론적 배경
Ⅲ. 연구방법
Ⅳ. 연구결과
Ⅴ. 결론 및 제언
참고문헌
"
모바일 전자정부 서비스 이용 상의 정보격차에 관한 연구 = Understanding digital divide in Korean m-government,최연태,한국지방정부학회,지방정부연구(The Korean Journal of Local Government Studies),"Vol.25No.1[2021]
",2021,Korean,"Dgital Differentiation,Digital Divide,Mobile Government,Clickstream Data,Socio-demographic Variables,정보분화,정보격차,모바일 전자정부,클릭스트림 데이터,인구통계학적 변인",,KCI등재,"학술저널
",http://www.klog.or.kr,133-154,0.0,,," KCI, &nbsp;&nbsp; DBpia",,"본 연구는 한국의 네티즌들을 대상으로 중앙정부 부처 모바일 웹사이트 이용에 영향을 미치는 요인을 인구사회학적 변인들을 중심으로 살펴보았다. 이를 위해, KoreanClick 패널들의 2016년 모바일 전자정부 웹사이트 이용 내역이 담긴 클릭스트림 데이터를가공하여 부처 기능유형별로 세 가지 차원의 연간 이용도를 측정한 횡단면 자료로 변환시킨 뒤 Tobit 분석과 Logit 분석을 실시하였다. 분석 결과, 종속변수가 연간 사용시간, 연간 방문일수 그리고 연간 방문여부인 모든 경우에 대하여 부처 기능유형에 따른 성별 정보분화 현상(digital gender diferentiation)이 나타남이 확인되었다. 또한 모든 부처 기능유형에 걸쳐 60대 고령층과 고졸이하 저학력층의 모바일 웹사이트 이용도가 유의하게 낮은 것으로 나타났는바 이는 전통적 의미의 정보격차(digital divide)에 해당하며, 향후 정책적 대응이 요구된다","In this study, we examine the sociodemographic characteristics of the Korean netizens that affects the use of the Korean central government mobile website in 2016. Adapting the digital divide and the digital differentiation hypothesis, we analyze m-government users and the determinants of their demand for m-government websites. Specifically, after controlling for socio-economic factors as demand determinants, we test whether gender inequality in m-government access and usage persists across three types of central government units that provide differentiated public services.
Our regression results indicate (i) no persistent gender inequality, supporting the digital differentiation hypothesis, and (ii) a persistent inequality in access to and usage of central m-government services by age and educational attainment, supporting the digital divide hypothesis, which deserves more attention and further research.",
코로나 19가 고령층의 온라인 사회 참여와 온라인 네트워크 활동에 미치는 영향 - 디지털 정보격차를 중심으로 - = The Impact of COVID-19 on Old People’s Online Social Participation and Online Network Activity: focused on Digital Information Divide,"홍성효 ( Hong¸ Seonghyo ),이동기 ( Lee¸ Donggi )",한국자치행정학회,한국자치행정학보(Korean Journal of Local Government & Administration Studies),"Vol.35No.3[2021]
",2021,,"디지털 정보격차,고령층,온라인 사회적 참여,온라인 네트워크 활동,코로나 19,Digital Information Divide,Online Social Participation,Online Network Activity,Old People",300.0,KCI등재,"학술저널
",,321-341,,,," KCI, &nbsp;&nbsp; eArticle, &nbsp;&nbsp; KISS",,,"This paper analyzes how the social participation of the elderly has changed due to COVID-19. In particular, compared to the general public, not only have their online activities limited due to the digital information gap, but also face-to-face activities due to COVID-19, so the negative impact of COVID-19 on their social participation and network activities is relatively large. will be. This paper empirically analyzes the changes in social participation and network activities online and before and after COVID-19 of the elderly compared to the general population by applying a double-difference analysis framework. According to the results of the regression analysis, the social participation of the elderly through online was relatively decreased compared to the general public before and after Corona 19, which means that their social participation restrictions were relatively large. The increase of the elderly and their mental health problems have been one of the challenges that our society has to solve. However, the empirical analysis results of this paper show that social participation of the elderly living alone is more restricted due to COVID-19, so a policy to strengthen social interest and care for them is needed.",
학습 격차 해소를 위한 초등 정보 교과 신설 방안,"정영식,유정수,김철",한국정보교육학회,정보교육학회논문지(JOURNAL OF The Korean Association of information Education),"Vol.25No.1[2021]
",2021,Korean,"초등학교,정보 교과,원격 수업,정보 교육,학습 격차,elementary school,information curriculum,distance education,information education,learning gap.",370.714,KCI등재,"학술저널
",http://www.kaie.or.kr,33-40,3.0,,," ScienceON, &nbsp;&nbsp; KCI, &nbsp;&nbsp; eArticle",남서울대학교 성암기념중앙도서관,"코로나19 대유행으로 인해 세계 여러 나라는 학교를 폐쇄하고, 우리나라도 사상 초유의 온라인 개학과 전면적 인 원격 수업이 도입되었다. 인터넷을 기반으로 한 원격수업은 소득수준이 낮은 국가와 그렇지 않은 국가 간의 학습 격차를 발생시켰고, 우리나라에서도 학생 간 학습 격차가 심화되었다. 이러한 학습 격차는 학생들의 디지털 역량 부족으로 발생하였다. 비대면 교육 시대에 학생 간 학습 격차를 해소하려면, 초등학교에서부터 체계적인 정 보 교육이 필요하다. 2015 개정 교육과정에서는 정보교육이 17시간으로 제한되는 등 수업 시간이 확보되지 못하 여 정보교육이 매우 약화되었고, 그로 인해 학생들의 디지털 리터러시도 감소하였다. 따라서 디지털 리터러시를 향상시켜 학생들의 학습 격차를 해소하려면 반드시 초등학교에 정보 교과를 설립해야 한다. 이를 위해 본 연구 에서는 초중등교육법 시행령 43조의 개정안을 제시하였고, 2022년 개정 교육과정에서 초등학교에 정보 교과를 신설할 것을 제안하였다.","Due to the Covid-19 pandemic, many countries around the world shut down schools, and Korea was the first to open online schools and provide remote education. In Internet-based remote education, the learning gap between countries with low income levels and those without income levels has widened. In Korea, the gap between students' learning has widened. This learning gap was caused by a lack of digital competence among students. In order to reduce the learning gap between students in the era of un-tact education like distance education, systematic information education should be promoted from elementary schools. In the 2015 revised curriculum, information education was very weakened due to the lack of class time, such as limited information education to 17 hours. This also reduced the digital literacy of students. Therefore, in order to reduce the gap in students' learning, digital capabilities must be developed, and information courses must be established in elementary schools. To this end, we proposed the amendment to Article 43 of the Enforcement Decree of the Elementary and Secondary Education Act and proposed the establishment of the information curriculum in elementary schools in the revised curriculum in 2022.","요약
Abstract
1. 서론
2. 원격 수업에서의 학습 격차
	2.1. 디지털 역량 차이로 인한 학습 격차 발생
	2.2. 정보교육 부족으로 인한 학습격차 발생
3. 초등학교 정보 교과 설립의 필요성
	3.1. 창의적체험활동에서의 정보교육 시간 감소
	3.2. 실과에서의 정보교육 시간 감소
4. 초등 정보교과 도입 방안
5. 결론 및 제언
참고문헌
"
한국의 디지털 불평등: “디지털 정보격차 실태조사” 2014~2019 분석 = Digital Inequality in Korea: Evidence from Digital Information Gap Survey 2014-2019,정인관 ( Inkwan Chung ),인문사회 21,인문사회 21(The Journal of Humanities and Social science),"Vol.12No.2[2021]
",2021,,"Digital Information Gap Survey,Decomposition Method,Digital Inequality,Digital Divide,HSCV,디지털 정보격차 실태조사,분해분석,정보 불평등,정보 격차,변동계수",300.0,KCI등재,"학술저널
",,1875-1886,2.0,,," KCI, &nbsp;&nbsp; KISS",,,"This study aims to find out how digital inequality among Korean adults has changed since the 2010s. We achieve this by utilizing the Digital Information Gap Survey (2014~2019). Over the six-year period, the average level of digital ability has continued to rise, and the gap between people has decreased. Next, we used decomposition analysis to determine how much digital inequality is accounted by age, gender, education level, and household income. Findings show that the role of socio-demographic factors in explaining digital inequality has decreased across this period. However, the proportion of all four factors explaining inequality has increased considerably in 2019. This implies that the level of digital inequality, which has temporarily decreased since 2010, could rise again. This will be particularly true when the development of new technologies requires a higher level of skill and cost. Future studies need to continually identify the trend of digital inequality through newly collected data. It would also be necessary to consider multiple factors simultaneously through more advanced decomposition analysis techniques.",
