weight,cylinders,model_year,origin,horsepower,displacement,acceleration,km
977.0,4,78,1,68.0,98.0,16.5,12.754285533139079
1161.0,4,78,3,95.0,134.0,14.2,11.691428405377488
1043.0,4,78,3,97.0,119.0,14.7,11.563885550046097
1012.0,4,78,1,75.0,105.0,14.5,13.136914099133248
1141.0,4,78,3,95.0,134.0,14.8,8.97051415830782
1245.0,4,78,1,105.0,156.0,16.7,9.863314145627553
1295.0,4,78,1,85.0,151.0,17.6,10.118399856290335
1091.0,4,78,3,97.0,119.0,14.9,10.160914141400799
1284.0,5,78,2,103.0,131.0,15.9,8.630399877424109
1424.0,6,78,2,125.0,163.0,13.6,7.227428468778811
1268.0,4,78,2,115.0,121.0,15.7,9.183085583860137
1547.0,6,78,2,133.0,163.0,15.8,6.887314187895102
903.0,4,78,2,71.0,89.0,14.9,13.391999809796031
968.0,4,78,3,68.0,98.0,16.6,12.54171410758676
1472.0,6,79,1,115.0,231.0,15.4,9.140571298749672
1356.0,6,79,1,85.0,200.0,18.2,8.417828451871792
1311.0,4,79,1,88.0,140.0,17.3,9.480685579633382
1481.0,6,79,1,90.0,232.0,18.2,8.587885592313645
1524.0,6,79,1,110.0,225.0,16.6,8.7579427327555
1742.0,8,79,1,130.0,305.0,15.4,7.227428468778811
1690.0,8,79,1,129.0,302.0,13.4,7.482514179441592
1794.0,8,79,1,138.0,351.0,13.2,7.014857043226494
1737.0,8,79,1,135.0,318.0,15.2,7.7375998901043745
1978.0,8,79,1,155.0,350.0,14.9,7.184914183668346
1839.0,8,79,1,142.0,351.0,14.3,6.589714192121857
1635.0,8,79,1,125.0,267.0,15.0,8.162742741209009
1787.0,8,79,1,150.0,360.0,13.0,7.865142745435765
873.0,4,79,2,71.0,89.0,14.0,13.562056950237887
896.0,4,79,3,65.0,86.0,15.2,14.497371222668088
869.0,4,79,1,80.0,98.0,14.4,15.177599784435504
1211.0,4,79,1,80.0,121.0,15.0,11.648914120267023
1601.0,5,79,2,77.0,183.0,20.1,10.798628418057753
1769.0,8,79,1,125.0,350.0,17.4,9.778285575406628
1447.0,4,79,2,71.0,141.0,24.8,11.563885550046097
1551.0,8,79,1,90.0,260.0,22.2,10.160914141400799
998.0,4,79,1,70.0,105.0,13.2,14.53988550777855
975.0,4,79,1,70.0,105.0,14.9,14.66742836310994
916.0,4,79,3,65.0,85.0,19.2,13.519542665127423
966.0,4,79,2,69.0,91.0,14.7,15.85782834620292
1211.0,4,79,1,90.0,151.0,16.0,12.07405697137166
1177.0,6,79,1,115.0,173.0,11.3,12.244114111813515
1225.0,6,79,1,115.0,173.0,12.9,11.393828409604243
1159.0,4,79,1,90.0,151.0,13.2,14.242285512005303
973.0,4,80,2,76.0,98.0,14.7,17.64342832084239
893.0,4,80,3,60.0,89.0,18.8,16.19794262708663
962.0,4,80,1,70.0,98.0,15.5,13.647085520458816
916.0,4,80,3,65.0,86.0,16.4,15.815314061092456
1215.0,4,80,1,90.0,151.0,16.5,11.903999830929807
1302.0,4,80,1,88.0,140.0,18.1,11.22377126916239
1362.0,4,80,1,90.0,151.0,20.1,10.330971281842654
1534.0,6,80,1,90.0,225.0,18.7,8.120228456098546
992.0,4,80,2,78.0,97.0,15.8,14.58239979288901
1230.0,4,80,3,90.0,134.0,15.5,12.669256962918151
1153.0,4,80,3,75.0,120.0,17.5,13.306971239575104
1104.0,4,80,3,92.0,119.0,15.0,15.73028549087153
1027.0,4,80,3,75.0,108.0,15.2,13.689599805569278
957.0,4,80,3,65.0,86.0,17.9,19.811656861476035
1270.0,4,80,1,105.0,156.0,14.4,11.861485545819342
957.0,4,80,3,65.0,85.0,19.2,17.345828325069146
946.0,4,80,2,48.0,90.0,21.7,18.83382830393537
1059.0,4,80,2,48.0,90.0,23.7,18.4511997379412
1338.0,5,80,2,67.0,121.0,19.9,15.475199780208749
1474.0,4,80,2,67.0,146.0,21.8,12.754285533139079
839.0,4,80,3,67.0,91.0,13.8,18.961371159266765
973.0,4,80,3,67.0,97.0,18.0,14.369828367336693
837.0,4,80,2,62.0,89.0,15.3,12.669256962918151
1320.0,6,80,3,132.0,168.0,11.4,13.902171231121597
1098.0,3,80,3,100.0,70.0,12.5,10.075885571179871
1134.0,4,80,2,88.0,122.0,15.1,14.879999788662259
1039.0,4,80,3,72.0,107.0,17.0,13.774628375790204
1129.0,4,81,1,84.0,135.0,15.7,11.563885550046097
1195.0,4,81,1,84.0,151.0,16.4,11.308799839383317
1188.0,4,81,1,92.0,156.0,14.4,10.968685558499606
1236.0,6,81,1,110.0,173.0,12.6,9.990857000958943
1082.0,4,81,1,84.0,135.0,12.9,12.754285533139079
796.0,4,81,3,58.0,79.0,16.9,16.623085478191268
850.0,4,81,1,64.0,86.0,16.4,16.580571193080804
798.0,4,81,3,60.0,81.0,16.1,14.922514073772723
937.0,4,81,3,67.0,97.0,17.8,13.732114090679739
896.0,4,81,3,65.0,85.0,19.4,15.73028549087153
930.0,4,81,3,62.0,89.0,17.3,16.027885486644777
900.0,4,81,3,68.0,91.0,16.0,14.497371222668088
1005.0,4,81,1,63.0,105.0,14.9,14.752456933330869
928.0,4,81,1,65.0,98.0,16.2,14.624914077999478
1080.0,4,81,1,65.0,98.0,20.7,12.711771248028613
993.0,4,81,2,74.0,105.0,14.2,14.029714086452987
1002.0,4,81,3,75.0,107.0,14.4,14.327314082226232
1066.0,4,81,3,75.0,108.0,16.8,13.774628375790204
1186.0,4,81,3,100.0,119.0,14.8,13.987199801342522
1195.0,4,81,3,74.0,120.0,18.3,13.434514094906497
1465.0,4,81,2,80.0,141.0,20.4,11.94651411604027
1433.0,6,81,2,76.0,145.0,19.6,13.051885528912322
1315.0,6,81,3,116.0,168.0,12.6,10.798628418057753
1329.0,6,81,3,120.0,146.0,13.8,10.288456996732188
1549.0,6,81,1,110.0,231.0,15.8,9.523199864743845
1690.0,8,81,1,105.0,350.0,19.0,11.308799839383317
1388.0,6,81,1,88.0,200.0,17.1,8.587885592313645
1572.0,6,81,1,85.0,225.0,16.6,7.482514179441592
1182.0,4,82,1,88.0,112.0,19.6,11.903999830929807
1197.0,4,82,1,88.0,112.0,18.6,11.47885697982517
1086.0,4,82,1,88.0,112.0,18.0,14.454856937557622
1168.0,4,82,1,85.0,112.0,16.2,13.179428384243714
1145.0,4,82,1,84.0,135.0,16.0,12.329142682034442
1241.0,4,82,1,90.0,151.0,18.0,11.47885697982517
1300.0,4,82,1,92.0,140.0,16.4,10.203428426511262
898.0,4,82,2,74.0,105.0,15.3,15.305142639766894
919.0,4,82,3,68.0,91.0,18.2,15.73028549087153
894.0,4,82,3,68.0,91.0,17.6,13.179428384243714
964.0,4,82,1,63.0,105.0,14.7,16.155428341976165
964.0,4,82,1,70.0,98.0,17.3,15.305142639766894
980.0,4,82,3,88.0,120.0,14.5,15.305142639766894
1000.0,4,82,3,75.0,107.0,14.5,15.305142639766894
1018.0,4,82,3,70.0,108.0,16.9,14.454856937557622
891.0,4,82,3,67.0,91.0,15.0,16.155428341976165
891.0,4,82,3,67.0,91.0,15.7,13.604571235348349
905.0,4,82,3,67.0,91.0,16.2,16.155428341976165
1336.0,6,82,1,110.0,181.0,16.4,10.6285712776159
1368.0,6,82,1,85.0,262.0,17.0,16.155428341976165
1173.0,4,82,1,92.0,156.0,14.5,11.053714128720534
1286.0,6,82,1,112.0,232.0,14.7,9.353142724301991
1209.0,4,82,3,96.0,144.0,13.9,13.604571235348349
1075.0,4,82,1,84.0,135.0,13.0,15.305142639766894
1338.0,4,82,1,90.0,151.0,17.3,11.47885697982517
1266.0,4,82,1,86.0,140.0,15.6,11.47885697982517
966.0,4,82,2,52.0,97.0,24.6,18.706285448603982
1041.0,4,82,1,84.0,135.0,11.6,13.604571235348349
1191.0,4,82,1,79.0,120.0,18.6,11.903999830929807
1234.0,4,82,1,82.0,119.0,19.4,13.179428384243714
